	GSM679849_17A.CEL	GSM679847_9A.CEL	GSM679848_13A.CEL	GSM679850_10B.CEL	GSM679859_11B.CEL	GSM679860_12B.CEL
1007_s_at	9.17509924195747	9.28577054836348	9.02509797297495	9.37924056929216	10.9079261853611	11.0344049292034
1053_at	9.70233539321221	9.57271769418662	9.71708332672464	9.65554553637191	7.61374615880919	7.56438702463539
117_at	3.72449909350484	3.50915180063763	3.63338866003063	3.72605379585403	3.89298711329788	3.7485650450393
121_at	7.50687077824014	7.6190176591847	7.36347626378775	7.540973313269	7.28849363559617	7.58095329039355
1255_g_at	2.91581294241196	2.86282390543855	2.92002091703509	2.95439849160696	2.79902361215638	2.85448870570405
1294_at	4.54707717990901	4.80158682784165	4.46103933052019	4.64477313202141	5.38521084333468	5.33007463359722
1316_at	4.73989057834289	4.68418643720217	4.61506791009724	4.83839283729591	4.64106745991812	4.7510034097585
1320_at	5.13548356261615	4.54757983607493	5.10712444956224	5.04782297074105	5.02550318345836	5.24182347242162
1405_i_at	2.72991100770366	2.75194126202467	2.71136889580901	2.81226266857035	2.86689725834682	3.20298940982585
1431_at	3.10385531597363	3.06960805543934	2.79982171654555	3.06969791185439	3.81717972491609	3.70374195045609
1438_at	5.79252297631171	5.49986970008379	5.85464222266083	5.64182587605215	6.5213546245722	6.50260115560919
1487_at	7.3702822670759	7.3820384565367	7.42878984442617	7.58489381743787	7.17470022514678	7.03884489081093
1494_f_at	5.44725069028556	5.44544655493697	5.34727192847472	5.51765005221197	5.30718464588609	5.51904158269853
1598_g_at	6.39245026175762	6.41548898274393	6.14861367088081	6.3596166864682	6.43341855368427	6.59042412201176
160020_at	5.77514304046627	5.83067602038324	5.51491309516905	5.84456280632298	6.37534542823325	6.78513794988463
1729_at	6.39404652085074	6.67687579239932	6.30336709276251	6.78822221715464	7.02087566089158	7.27015696229634
1773_at	6.66542935691785	6.84338912187475	6.6004685688096	6.73245634146505	6.51636922991369	6.58405238506884
177_at	4.65875045767369	4.38457567461166	4.72555803916656	4.31239293056169	5.51245477790838	5.67849328354248
179_at	7.7906469277668	7.72978485310092	7.58065799124883	7.98050682849865	8.04102755731378	8.01041486717165
1861_at	7.32713284659069	7.23760957645742	7.35430006025483	7.44480813558064	7.2907710379904	7.51401552904329
200000_s_at	10.4794718377882	10.5297418142855	10.5057406461489	10.377013247305	10.2431624419152	10.1068946515308
200001_at	10.8184203894409	10.8345291675126	10.8198783366232	10.9832497412026	11.4786934333782	11.5069349340385
200002_at	12.7149019885785	12.6547052085257	12.8125134762193	12.7172878510284	12.4917952896268	12.4218217239268
200003_s_at	13.2547710809123	13.268618070025	13.2853014061242	13.2481386622679	13.3659954251022	13.3882262399998
200004_at	12.1843285718081	12.1306808235403	12.1546628774908	12.1446885166678	11.9333857049017	11.8096861782061
200005_at	10.8983737433719	10.859121598573	10.9616848393022	11.0578637373592	10.6262608607812	10.5766218286394
200006_at	12.1921929459148	12.1610417625221	12.1826558993057	12.1831080306947	12.0120495705217	11.9283023176959
200007_at	11.9029628460418	11.9998565374835	11.9522453549803	11.9936863030016	12.1045438602484	12.080124808172
200008_s_at	10.2554797261032	10.3555641169897	10.3138802441507	10.6762672554319	10.2694384951332	10.2667659878955
200009_at	12.1864911345398	12.2012458671497	12.189633286795	12.2692363753005	12.0520977003769	11.9807072755622
200010_at	11.9806866157269	11.9714829506033	12.0062989240043	12.0783477103444	12.1358664376923	12.0374750910183
200011_s_at	9.53731983666286	9.51651007636893	9.47864300035003	9.62782217031495	9.54742655424755	9.57641026677486
200012_x_at	12.9952915816039	12.9304663082706	13.026475337403	13.0340365884935	13.0136992526054	12.8808098683689
200013_at	12.8126290645259	12.7671574750207	12.8129883562597	12.8353827789102	12.7701941271804	12.7633151638623
200014_s_at	11.0358365170606	10.8255157093235	10.9270590652098	10.7630069474969	9.67891002510235	9.61165691971005
200015_s_at	11.4803742152418	11.5278887953719	11.5334597019994	11.4741314581988	12.0538709986198	11.898022429691
200016_x_at	12.9915358128165	13.0254135592803	13.0209618156855	13.0466769109452	12.9627668742478	12.886250312172
200017_at	12.5951742285502	12.5848277218956	12.5971201894131	12.6225079873497	12.6386881843603	12.5245980079886
200018_at	12.7069471414109	12.6891097144804	12.7408698084841	12.7989064624984	12.7599573850753	12.6559376493029
